address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"7269 N Canton Center Rd Canton, MI 48187",42.337935,-83.488856,1,range_interpolation,7269,"N Canton Center Rd",,,Canton,MI,"Wayne County",48187,US,"TIGER/Line® dataset from the US Census Bureau"
"45300 Cherry Hill Rd. Canton, MI 48187",42.307566,-83.48607,1,range_interpolation,45300,"Cherry Hill Rd",,,Canton,MI,"Wayne County",48187,US,"TIGER/Line® dataset from the US Census Bureau"
"1791 S. Haggerty Rd. Canton, MI 48188",42.294321,-83.446805,0.95,rooftop,1791,"Haggerty S",,,Canton,MI,"Wayne County",48188,US,Semcog
"7333 E. Ten Mile Rd. Center Line, MI 48015",42.47845,-83.030405,1,rooftop,7333,"E 10 Mile Rd",,,"Center Line",MI,"Macomb County",48015,US,Semcog
"301 South Cochran Ave. Charlotte, MI 48813",42.560676,-84.836029,0.9,range_interpolation,301,"S Cochran Ave",,,Charlotte,MI,"Eaton County",48813,US,"TIGER/Line® dataset from the US Census Bureau"
"935 S. Main St. Chelsea, MI 48118",42.30701,-84.020363,1,rooftop,935,"S Main St",,,Chelsea,MI,"Washtenaw County",48118,US,Semcog
"51400 Gratiot Ave Chesterfield, MI 48051",42.677478,-82.828973,1,rooftop,51400,"Gratiot Ave",,,Chesterfield,MI,"Macomb County",48051,US,Macomb
"47011 Gratiot Ave. Chesterfield, MI 48051",42.645564,-82.853503,1,rooftop,47011,"Gratiot Ave",,,Chesterfield,MI,"Macomb County",48051,US,Macomb
"52950 Gratiot Ave. Chesterfield, MI 48051",42.688642,-82.820984,1,rooftop,52950,"Gratiot Ave",,,Chesterfield,MI,"Macomb County",48051,US,Macomb
"7091 Dixie Highway Clarkston, MI 48346",42.72324,-83.428085,1,rooftop,7091,"Dixie Hwy",,,Clarkston,MI,"Oakland County",48346,US,Oakland
"5529 Sashabaw Rd. Clarkston, MI 48346",42.719829,-83.379858,1,rooftop,5529,"Sashabaw Rd",,,Clarkston,MI,"Oakland County",48346,US,Oakland
"110 N Rochester Rd. Clawson, MI 48017",42.534438,-83.135153,1,rooftop,110,"N Rochester Rd",,,Clawson,MI,"Oakland County",48017,US,Oakland
"1402 West 14 Mile Road Clawson, MI 48017",42.533525,-83.165269,1,rooftop,1402,"W 14 Mile Rd",,,Clawson,MI,"Oakland County",48017,US,Oakland
"33860 S Gratiot Ave Clinton Township, MI 48035",42.546059,-82.905256,0.9,range_interpolation,33860,"S Gratiot Ave",,,"Clinton Township",MI,"Macomb County",48035,US,"TIGER/Line® dataset from the US Census Bureau"
"40925 Garfield Road Clinton Township, MI 48038",42.597307,-82.953133,1,rooftop,40925,"Garfield Rd",,,"Clinton Township",MI,"Macomb County",48038,US,Macomb
"37050 S Gratiot Ave Clinton Township, MI 48036",42.570671,-82.890067,0.6,rooftop,37050,Gratiot,,,"Clinton Township",MI,"Macomb County",48036,US,Semcog
"36540 Garfield Rd. Clinton Township, MI 48035",42.565934,-82.950033,1,rooftop,36540,"Garfield Rd",,,"Clinton Township",MI,"Macomb County",48035,US,Macomb
"15255 17 Mile Rd. Clinton Township, MI 48038",42.58363,-82.970828,1,rooftop,15255,"17 Mile Rd",,,"Clinton Township",MI,"Macomb County",48038,US,Macomb
"61 W. Pearl St. Coldwater, MI 49036",41.939457,-85.002215,1,range_interpolation,61,"W Pearl St",,,Coldwater,MI,"Branch County",49036,US,"TIGER/Line® dataset from the US Census Bureau"
"3053 Union Lake Rd. Commerce Township, MI 48382",42.591631,-83.445765,1,range_interpolation,3053,"Union Lake Rd",,,"Commerce Township",MI,"Oakland County",48382,US,"TIGER/Line® dataset from the US Census Bureau"
"1325 E Commerce Rd. Commerce Township, MI 48382",42.59744,-83.492219,1,rooftop,1325,"E Commerce Rd",,,"Commerce Township",MI,"Oakland County",48382,US,Oakland
"15901 Ford Rd Dearborn, MI 48126",42.327479,-83.198978,1,rooftop,15901,"Ford Rd",,,Dearborn,MI,"Wayne County",48126,US,Semcog
"15325 Michigan Ave Dearborn, MI 48126",42.316695,-83.19336,1,range_interpolation,15325,"Michigan Ave",,,Dearborn,MI,"Wayne County",48126,US,"TIGER/Line® dataset from the US Census Bureau"
"23115 Michigan Ave Dearborn, MI 48124",42.302337,-83.26033,1,range_interpolation,23115,"Michigan Ave",,,Dearborn,MI,"Wayne County",48124,US,"TIGER/Line® dataset from the US Census Bureau"
"10335 West Warren Dearborn, MI 48126",42.344239,-83.161561,0.95,range_interpolation,10335,"W Warren Ave",,,Dearborn,MI,"Wayne County",48126,US,"TIGER/Line® dataset from the US Census Bureau"
"2701 S Telegraph Rd. Dearborn, MI 48124",42.292338,-83.270174,0.95,rooftop,2701,"S Telegraph",,,Dearborn,MI,"Wayne County",48124,US,Semcog
"22060 Outer Drive Dearborn, MI 48124",42.284678,-83.233347,1,rooftop,22060,"Outer Dr",,,Dearborn,MI,"Wayne County",48124,US,Semcog
"26650 Ford Rd Dearborn Heights, MI 48127",42.326522,-83.302231,1,range_interpolation,26650,"Ford Rd",,,"Dearborn Heights",MI,"Wayne County",48127,US,"TIGER/Line® dataset from the US Census Bureau"
"8710 N. Beech Daly Dearborn Heights, MI 48127",42.355703,-83.293501,1,rooftop,8710,"N Beech Daly",,,"Dearborn Heights",MI,"Wayne County",48127,US,Semcog
"25762 Van Born Dearborn Heights, MI 48125",42.269027,-83.288061,1,rooftop,25762,"Van Born",,,"Dearborn Heights",MI,"Wayne County",48125,US,Semcog
"200 Renaissance Ctr Detroit, MI 48243",42.329409,-83.040893,1,range_interpolation,200,"Renaissance Ctr",,,Detroit,MI,"Wayne County",48243,US,"TIGER/Line® dataset from the US Census Bureau"
"3200 E. Jefferson Detroit, MI 48207",42.340836,-83.015812,1,rooftop,3200,"E Jefferson",,,Detroit,MI,"Wayne County",48207,US,"City of Detroit"
"15455 Gratiot Detroit, MI 48205",42.448884,-82.970056,0.84,nearest_rooftop_match,15425,Gratiot,,,Detroit,MI,"Wayne County",48205,US,"City of Detroit"
"12907 E. Jefferson Ave. Detroit, MI 48215",42.370662,-82.953711,1,range_interpolation,12907,"E Jefferson Ave",,,Detroit,MI,"Wayne County",48215,US,"TIGER/Line® dataset from the US Census Bureau"
"15521 West Seven Mile Road Detroit, MI 48235",42.430093,-83.200439,1,rooftop,15521,"W 7 Mile Rd",,,Detroit,MI,"Wayne County",48235,US,Semcog
"2590 W. Grand Blvd. Detroit, MI 48208",42.363687,-83.090542,1,range_interpolation,2590,"W Grand Blvd",,,Detroit,MI,"Wayne County",48208,US,"TIGER/Line® dataset from the US Census Bureau"
"10011 West Mcnichols Road Detroit, MI 48221",42.416778,-83.1604,1,range_interpolation,10011,"W McNichols Rd",,,Detroit,MI,"Wayne County",48221,US,"TIGER/Line® dataset from the US Census Bureau"
"350 E Warren Ave. Detroit, MI 48201",42.358271,-83.060574,1,range_interpolation,350,"E Warren Ave",,,Detroit,MI,"Wayne County",48201,US,"TIGER/Line® dataset from the US Census Bureau"
"18901 W 8 Mile Rd Detroit, MI 48219",42.443739,-83.228475,1,rooftop,18901,"W 8 Mile Rd",,,Detroit,MI,"Wayne County",48219,US,Semcog
"22001 West Eight Mile Detroit, MI 48219",42.442724,-83.259479,1,rooftop,22001,"W 8 Mile Rd",,,Detroit,MI,"Wayne County",48219,US,Semcog
"18585 Dale St, Corner Of Telegraph+grand Detroit, MI 48219",42.424737,-83.276723,1,range_interpolation,18585,"Dale St",,,Detroit,MI,"Wayne County",48219,US,"TIGER/Line® dataset from the US Census Bureau"
"19851 W. Warren Detroit, MI 48228",42.342858,-83.234966,1,rooftop,19851,"W Warren",,,Detroit,MI,"Wayne County",48228,US,"City of Detroit"
"13580 Grand River Ave. Detroit, MI 48227",42.384629,-83.177939,1,range_interpolation,13580,"Grand River Ave",,,Detroit,MI,"Wayne County",48227,US,"TIGER/Line® dataset from the US Census Bureau"
"19900 Van Dyke Detroit, MI 48234",42.441699,-83.02401,1,rooftop,19900,"Van Dyke",,,Detroit,MI,"Wayne County",48234,US,"City of Detroit"
"1935 Campbell Detroit, MI 48209",42.317256,-83.10506,1,rooftop,1935,Campbell,,,Detroit,MI,"Wayne County",48209,US,Semcog
"6862 Michigan Ave. Detroit, MI 48210",42.331386,-83.128439,1,rooftop,6862,"Michigan Ave",,,Detroit,MI,"Wayne County",48210,US,"City of Detroit"
"16800 Schaefer Hwy Detroit, MI 48235",42.413814,-83.179685,1,range_interpolation,16800,"Schaefer Hwy",,,Detroit,MI,"Wayne County",48235,US,"TIGER/Line® dataset from the US Census Bureau"
"18500 Grand River Detroit, MI 48223",42.40356,-83.224975,1,range_interpolation,18500,"Grand River Ave",,,Detroit,MI,"Wayne County",48223,US,"TIGER/Line® dataset from the US Census Bureau"
"18600 Livernois Detroit, MI 48221",42.428739,-83.140813,1,rooftop,18600,Livernois,,,Detroit,MI,"Wayne County",48221,US,Semcog
"18585 East Warren Ave Detroit, MI 48236",42.412401,-82.913132,1,range_interpolation,18585,"E Warren Ave",,,"Grosse Pointe",MI,"Wayne County",48236,US,"TIGER/Line® dataset from the US Census Bureau"
"10652 Gratiot Ave. Detroit, MI 48213",42.401599,-82.999519,1,range_interpolation,10652,"Gratiot Ave",,,Detroit,MI,"Wayne County",48213,US,"TIGER/Line® dataset from the US Census Bureau"
"1037 Woodward Ave. Detroit, MI 48226",42.332447,-83.047881,1,rooftop,1037,"Woodward Ave",,,Detroit,MI,"Wayne County",48226,US,Semcog
"240 Mac Ave., East East Lansing, MI 48823",42.735458,-84.48093,1,range_interpolation,240,"Mac Ave",,,"East Lansing",MI,"Ingham County",48823,US,"TIGER/Line® dataset from the US Census Bureau"
"16000 East Ten Mile Road Eastpointe, MI 48021",42.479238,-82.956618,1,rooftop,16000,"E 10 Mile Rd",,,Eastpointe,MI,"Macomb County",48021,US,Macomb
"18640 Nine Mile Rd. Eastpointe, MI 48021",42.465039,-82.927914,0.9,rooftop,18640,"E 9 Mile Rd",,,Eastpointe,MI,"Macomb County",48021,US,Macomb
"23391 Farmington Rd. Farmington, MI 48336",42.463575,-83.376933,1,rooftop,23391,"Farmington Rd",,,Farmington,MI,"Oakland County",48336,US,Oakland
"30020 Grand River Ave Farmington Hills, MI 48336",42.453458,-83.343217,1,rooftop,30020,"Grand River Ave",,,"Farmington Hills",MI,"Oakland County",48336,US,Oakland
"29425 Orchard Lake Rd. Farmington Hills, MI 48334",42.513287,-83.360162,1,rooftop,29425,"Orchard Lake Rd",,,"Farmington Hills",MI,"Oakland County",48334,US,Oakland
"37700 W. 12 Mile Rd. Farmington Hills, MI 48331",42.4989,-83.42028,1,rooftop,37700,"W 12 Mile Rd",,,"Farmington Hills",MI,"Oakland County",48331,US,Oakland
"27660 Middlebelt Rd. Farmington Hills, MI 48334",42.498291,-83.33791,1,rooftop,27660,"Middlebelt Rd",,,"Farmington Hills",MI,"Oakland County",48334,US,Oakland
"22250 Middlebelt Farmington Hills, MI 48336",42.455521,-83.336306,1,rooftop,22250,"Middlebelt Rd",,,"Farmington Hills",MI,"Oakland County",48336,US,Oakland
"3255 Owen Rd Fenton, MI 48430",42.787421,-83.737166,1,rooftop,3255,"Owen Rd",,,Fenton,MI,"Genesee County",48430,US,Genesee
"900 W. Nine Mile Rd. Ferndale, MI 48220",42.460635,-83.14547,1,rooftop,900,"W 9 Mile Rd",,,Ferndale,MI,"Oakland County",48220,US,Oakland
"539 E. 9 Mile Rd. Ferndale, MI 48220",42.461166,-83.126747,1,rooftop,539,"E 9 Mile Rd",,,Ferndale,MI,"Oakland County",48220,US,Oakland
"27000 Telegraph Rd. Flat Rock, MI 48134",42.108871,-83.285393,1,range_interpolation,27000,"Telegraph Rd",,,"Flat Rock",MI,"Wayne County",48134,US,"TIGER/Line® dataset from the US Census Bureau"
"4300 24th Ave Fort Gratiot, MI 48059",43.034175,-82.452619,1,rooftop,4300,"24th Ave",,,"Fort Gratiot",MI,"St. Clair County",48059,US,Semcog
"111 North Main St. Frankenmuth, MI 48734",43.335923,-83.737993,1,range_interpolation,111,"N Main St",,,Frankenmuth,MI,"Saginaw County",48734,US,"TIGER/Line® dataset from the US Census Bureau"
"33021 Garfield Rd. Fraser, MI 48026",42.539471,-82.95036,1,rooftop,33021,"Garfield Rd",,,Fraser,MI,"Macomb County",48026,US,Macomb
"27435 Ford Rd. Garden City, MI 48135",42.325621,-83.312268,1,rooftop,27435,"Ford Rd",,,"Garden City",MI,"Wayne County",48135,US,Semcog
"5120 28th St Se Grand Rapids, MI 49512",42.908389,-85.541115,1,rooftop,5120,"28th St SE",,,"Grand Rapids",MI,"Kent County",49512,US,Kent
"3590 Plainfield Ave. Ne Grand Rapids, MI 49525",43.028137,-85.630727,1,rooftop,3590,"Plainfield Ave NE",,,"Grand Rapids",MI,"Kent County",49525,US,Kent
"727 28th St. Se Grand Rapids, MI 49548",42.913213,-85.647775,1,rooftop,727,"28th St SE",,,"Grand Rapids",MI,"Kent County",49548,US,Kent
"1155 Fuller Ave Ne Grand Rapids, MI 49503",42.983896,-85.640345,1,rooftop,1155,"Fuller Ave NE",,,"Grand Rapids",MI,"Kent County",49503,US,Kent
"1550 Lake Dr. Se Grand Rapids, MI 49506",42.954818,-85.631197,1,rooftop,1550,"Lake Dr SE",,,"Grand Rapids",MI,"Kent County",49506,US,Kent
"3130 44th St Sw Grandville, MI 49418",42.882195,-85.740721,1,rooftop,3130,"44th St SW",,,Grandville,MI,"Kent County",49418,US,Kent
"8900 Macomb Grosse Ile, MI 48138",42.13094,-83.155793,1,rooftop,8900,Macomb,,,"Grosse Ile",MI,"Wayne County",48138,US,Semcog
"17120 Kercheval Ave Grosse Pointe, MI 48230",42.390207,-82.915145,0.95,rooftop,17120,Kercheval,,,"Grosse Pointe",MI,"Wayne County",48230,US,Semcog
"20460 Mack Ave. Grosse Pointe Woods, MI 48236",42.43956,-82.907112,1,rooftop,20460,"Mack Ave",,,"Grosse Pointe Woods",MI,"Wayne County",48236,US,Semcog
"9300 Joseph Campau Hamtramck, MI 48212",42.393544,-83.055787,0.95,range_interpolation,9300,"Joseph Campau Ave",,,Hamtramck,MI,"Wayne County",48212,US,"TIGER/Line® dataset from the US Census Bureau"
"19818 Kelly Road Harper Woods, MI 48225",42.4416,-82.947141,1,rooftop,19818,"Kelly Rd",,,"Harper Woods",MI,"Wayne County",48225,US,Semcog
"26220 Crocker Harrison Township, MI 48045",42.571242,-82.849438,0.74,nearest_rooftop_match,26251,"Crocker Blvd",,,"Harrison Township",MI,"Macomb County",48045,US,Macomb
"33 West Nine Mile Rd. Hazel Park, MI 48030",42.460877,-83.10451,1,rooftop,33,"W 9 Mile Rd",,,"Hazel Park",MI,"Oakland County",48030,US,Oakland
"724 W Highland Rd. Highland, MI 48357",42.642609,-83.6265,1,rooftop,724,"W Highland Rd",,,Highland,MI,"Oakland County",48357,US,Oakland
"132 Douglas Ave. Holland, MI 49424",42.801604,-86.113432,1,rooftop,132,"Douglas Ave",,,Holland,MI,"Ottawa County",49424,US,Ottawa
"3456 W Shore Dr Holland, MI 49424",42.831422,-86.092142,1,rooftop,3456,"W Shore Dr",,,Holland,MI,"Ottawa County",49424,US,Ottawa
"4031 Grange Hall Road Holly, MI 48442",42.806858,-83.626786,1,rooftop,4031,"Grange Hall Rd",,,Holly,MI,"Oakland County",48442,US,Oakland
"2240 Cedar St Holt, MI 48842",42.648232,-84.52324,1,rooftop,2240,"Cedar St",,,Holt,MI,"Ingham County",48842,US,Ingham
"10025 E Highland Rd Howell, MI 48843",42.635587,-83.75695,1,rooftop,10025,"E Highland Rd",,,Howell,MI,"Livingston County",48843,US,Semcog
"2235 East Grand River Ave. Howell, MI 48843",42.59991,-83.908392,0.95,rooftop,2235,"E Grand Riv",,,Howell,MI,"Livingston County",48843,US,Semcog
"10073 E. Highland Rd., Howell, MI 48843",42.633647,-83.754286,1,rooftop,10073,"E Highland Rd",,,Howell,MI,"Livingston County",48843,US,Semcog
"3960 E. Highland Rd. Howell, MI 48843",42.629219,-83.876583,1,range_interpolation,3960,"E Highland Rd",,,Howell,MI,"Livingston County",48843,US,"TIGER/Line® dataset from the US Census Bureau"
"2040 S Cedar Imlay City, MI 48444",43.006063,-83.071537,1,range_interpolation,2040,"S Cedar St",,,"Imlay City",MI,"Lapeer County",48444,US,"TIGER/Line® dataset from the US Census Bureau"
"5756 Clarkston Rd. Independence, MI 48348",42.752332,-83.379118,1,rooftop,5756,"Clarkston Rd",,,Clarkston,MI,"Oakland County",48348,US,Oakland
"27365 Cherry Hill Inkster, MI 48141",42.310791,-83.308844,1,rooftop,27365,"Cherry Hl",,,Inkster,MI,"Wayne County",48141,US,Semcog
"1076 Jackson Xing Jackson, MI 49202",42.269427,-84.434636,1,range_interpolation,1076,"Jackson Xing",,,Jackson,MI,"Jackson County",49202,US,"TIGER/Line® dataset from the US Census Bureau"
"605 North West Ave. Jackson, MI 49202",42.167436,-84.250628,0.6,street_center,,"N Street Ct",,,Jackson,MI,"Jackson County",49201,US,"TIGER/Line® dataset from the US Census Bureau"
"2600 W. Michigan Ave. Kalamazoo, MI 49006",42.281756,-85.620582,1,range_interpolation,2600,"W Michigan Ave",,,Kalamazoo,MI,"Kalamazoo County",49006,US,"TIGER/Line® dataset from the US Census Bureau"
"5350 W Main St Kalamazoo, MI 49009",42.296361,-85.652309,1,range_interpolation,5350,"W Main St",,,Kalamazoo,MI,"Kalamazoo County",49009,US,"TIGER/Line® dataset from the US Census Bureau"
"5225 Eastern Ave., Se Kentwood, MI 49508",42.868959,-85.645791,1,rooftop,5225,"Eastern Ave SE",,,"Grand Rapids",MI,"Kent County",49508,US,Kent
"4514 Gratiot Rd. Kimball, MI 48074",42.910006,-82.500615,1,rooftop,4514,"Gratiot Rd",,,Kimball,MI,"St. Clair County",48074,US,Semcog
"3475 S. Baldwin Rd. Lake Orion, MI 48359",42.729314,-83.306992,1,rooftop,3475,"S Baldwin Rd",,,"Lake Orion",MI,"Oakland County",48359,US,Oakland
"295 S. Broadway Lake Orion, MI 48362",42.780224,-83.238811,1,rooftop,295,"S Broadway St",,,"Lake Orion",MI,"Oakland County",48362,US,Oakland
"632 N Dibble Ave. Lansing, MI 48917",42.740464,-84.605202,0.95,range_interpolation,632,"N Dibble Ave",,,Lansing,MI,"Eaton County",48917,US,"TIGER/Line® dataset from the US Census Bureau"
"500 E Edgewood Blvd Lansing, MI 48911",42.663382,-84.54328,1,rooftop,500,"E Edgewood Blvd",,,Lansing,MI,"Ingham County",48911,US,Ingham
"5609 W Saginaw Hwy Lansing, MI 48917",42.738474,-84.628599,0.76,rooftop,5609,Saginaw,,,Lansing,MI,"Eaton County",48917,US,Eaton
"5118 S. Mlk Jr Blvd. Lansing, MI 48911",42.682546,-84.569221,1,rooftop,5118,"S Martin Luther King Jr Blvd",,,Lansing,MI,"Ingham County",48911,US,Ingham
"3647 Dix Highway Lincoln Park, MI 48146",42.231648,-83.194486,1,range_interpolation,3647,"Dix Hwy",,,"Lincoln Park",MI,"Wayne County",48146,US,"TIGER/Line® dataset from the US Census Bureau"
"2400 Fort St., Corner Of Fort And Champaign Lincoln Park, MI 48146",42.244934,-83.181026,0.95,rooftop,2400,Ft,,,"Lincoln Park",MI,"Wayne County",48146,US,Semcog
"20100 Haggerty Rd Livonia, MI 48152",42.431702,-83.433192,1,range_interpolation,20100,"Haggerty Rd",,,Livonia,MI,"Wayne County",48152,US,"TIGER/Line® dataset from the US Census Bureau"
"29451 Plymouth Rd Livonia, MI 48150",42.369006,-83.333703,1,range_interpolation,29451,"Plymouth Rd",,,Livonia,MI,"Wayne County",48150,US,"TIGER/Line® dataset from the US Census Bureau"
"29500 Five Mile Rd. Livonia, MI 48154",42.398748,-83.335862,1,rooftop,29500,"5 Mile Rd",,,Livonia,MI,"Wayne County",48154,US,Semcog
"19120 Middlebelt Rd Livonia, MI 48152",42.427292,-83.335745,1,range_interpolation,19120,"Middlebelt Rd",,,Livonia,MI,"Wayne County",48152,US,"TIGER/Line® dataset from the US Census Bureau"
"37340 Five Mile Rd. Livonia, MI 48154",42.397527,-83.412081,1,rooftop,37340,"5 Mile Rd",,,Livonia,MI,"Wayne County",48154,US,Semcog
"8811 Newburgh Livonia, MI 48150",42.35387,-83.411537,1,rooftop,8811,Newburgh,,,Livonia,MI,"Wayne County",48150,US,Semcog
"20877 Hall Rd Macomb, MI 48044",42.631093,-82.912066,1,rooftop,20877,"Hall Rd",,,Macomb,MI,"Macomb County",48044,US,Semcog
"51000 Romeo Plank Rd. Macomb, MI 48042",42.672764,-82.940311,1,rooftop,51000,"Romeo Plank Rd",,,Macomb,MI,"Macomb County",48042,US,Semcog
"50980 North Avenue Macomb, MI 48042",42.672928,-82.876813,1,rooftop,50980,"North Ave",,,Macomb,MI,"Macomb County",48042,US,Semcog
"46850 Romeo Plank Macomb, MI 48044",42.642102,-82.935391,1,rooftop,46850,"Romeo Plank Rd",,,Macomb,MI,"Macomb County",48044,US,Semcog
"21777 21 Mile Rd. Macomb, MI 48044",42.64417,-82.900063,1,rooftop,21777,"21 Mile Rd",,,Macomb,MI,"Macomb County",48044,US,Semcog
"32001 John R Rd Madison Heights, MI 48071",42.528328,-83.107915,1,rooftop,32001,"John R Rd",,,"Madison Heights",MI,"Oakland County",48071,US,Oakland
"31010 John R Rd. Madison Heights, MI 48071",42.520649,-83.105938,1,rooftop,31010,"John R Rd",,,"Madison Heights",MI,"Oakland County",48071,US,Oakland
"27050 John R Rd. Madison Heights, MI 48071",42.49141,-83.104622,1,rooftop,27050,"John R Rd",,,"Madison Heights",MI,"Oakland County",48071,US,Oakland
"1229 S Parker St. Marine City, MI 48039",42.708882,-82.499629,1,rooftop,1229,"S Parker St",,,"Marine City",MI,"St. Clair County",48039,US,Semcog
"3250 Us Hwy 41 W Marquette, MI 49855",46.512222,-87.962058,0.86,range_interpolation,3250,"US Hwy 41",,,Champion,MI,"Marquette County",49814,US,"TIGER/Line® dataset from the US Census Bureau"
"18340 Allen Road Melvindale, MI 48122",42.282753,-83.18692,1,range_interpolation,18340,"Allen Rd",,,Melvindale,MI,"Wayne County",48122,US,"TIGER/Line® dataset from the US Census Bureau"
"1015 13th Street Menominee, MI 49858",45.108043,-87.618615,1,range_interpolation,1015,"13th St",,,Menominee,MI,"Menominee County",49858,US,"TIGER/Line® dataset from the US Census Bureau"
"1015 S. Saginaw Rd. Midland, MI 48640",43.619147,-84.217983,1,rooftop,1015,"S Saginaw Rd",,,Midland,MI,"Midland County",48640,US,Midland
"1249 Dexter St. Milan, MI 48160",42.097476,-83.677539,1,rooftop,1249,"Dexter St",,,Milan,MI,"Washtenaw County",48160,US,Semcog
"720 General Motors Rd. Milford, MI 48381",42.583528,-83.610802,1,rooftop,720,"General Motors Rd",,,Milford,MI,"Oakland County",48381,US,Oakland
"919 S. Monroe St Monroe, MI 48161",41.907676,-83.403854,1,rooftop,919,"S Monroe St",,,Monroe,MI,"Monroe County",48161,US,Semcog
"225 E State St. Montrose, MI 48457",43.176676,-83.888305,1,rooftop,225,"E State St",,,Montrose,MI,"Genesee County",48457,US,Genesee
"35 N. Walnut St. Mount Clemens, MI 48043",42.597975,-82.878846,1,rooftop,35,"N Walnut St",,,"Mount Clemens",MI,"Macomb County",48043,US,Semcog
"1306 S Mission St. Mount Pleasant, MI 48858",43.589816,-84.767647,1,range_interpolation,1306,"S Mission St",,,"Mount Pleasant",MI,"Isabella County",48858,US,"TIGER/Line® dataset from the US Census Bureau"
"5057 Harvey St Muskegon, MI 49444",43.160772,-86.208528,0.9,rooftop,5057,"S Harvey St",,,"Norton Shores",MI,"Muskegon County",49444,US,Muskegon
"2010 East Apple Ave. Muskegon, MI 49442",43.234694,-86.19358,1,rooftop,2010,"E Apple Ave",,,Muskegon,MI,"Muskegon County",49442,US,Muskegon
"33920 23 Mile Rd New Baltimore, MI 48047",42.674855,-82.768328,1,rooftop,33920,"23 Mile Rd",,,Chesterfield,MI,"Macomb County",48047,US,Semcog
"37100 Green St., New Baltimore, MI 48047",42.685833,-82.72893,1,rooftop,37100,"Green St",,,"New Baltimore",MI,"Macomb County",48047,US,Semcog
"44300 5 Mile Rd. Northville, MI 48168",42.396328,-83.480609,1,rooftop,44300,"5 Mile Rd",,,Northville,MI,"Wayne County",48168,US,Semcog
"133 East Dunlap Northville, MI 48167",42.432767,-83.481931,1,rooftop,133,"E Dunlap St",,,Northville,MI,"Wayne County",48167,US,Wayne
"16855 Haggerty Rd. Northville, MI 48168",42.409584,-83.433361,1,rooftop,16855,"Haggerty Rd",,,Northville,MI,"Wayne County",48168,US,Wayne
"39350 Nine Mile Rd Northville, MI 48167",42.453648,-83.433165,1,range_interpolation,39350,"9 Mile Rd",,,Northville,MI,"Oakland County",48167,US,"TIGER/Line® dataset from the US Census Bureau"
"27100 Wixom Rd Novi, MI 48374",42.488284,-83.534312,1,rooftop,27100,"Wixom Rd",,,Novi,MI,"Oakland County",48374,US,Oakland
"31250 Beck Rd. Novi, MI 48377",42.524412,-83.515577,1,rooftop,31250,"Beck Rd",,,Novi,MI,"Oakland County",48377,US,Oakland
"22240 Novi Rd. Novi, MI 48375",42.450529,-83.473287,1,rooftop,22240,"Novi Rd",,,Novi,MI,"Oakland County",48375,US,Oakland
"47200 W 10  Mile Rd. Novi, MI 48374",42.466168,-83.513173,1,rooftop,47200,"W 10 Mile Rd",,,Novi,MI,"Oakland County",48374,US,Oakland
"42191 W 14 Mile Road Novi, MI 48377",42.525964,-83.46648,1,rooftop,42191,"W 14 Mile Rd",,,Novi,MI,"Oakland County",48377,US,Oakland
"4816 North Adams Road Oakland, MI 48306",42.588477,-83.207593,0.9,range_interpolation,4816,"N Adams Rd",,,Troy,MI,"Oakland County",48098,US,"TIGER/Line® dataset from the US Census Bureau"
"23001 Coolidge Hwy. Oak Park, MI 48237",42.460808,-83.183131,1,rooftop,23001,"Coolidge Hwy",,,"Oak Park",MI,"Oakland County",48237,US,Oakland
"4890 Marsh Rd Okemos, MI 48864",42.724203,-84.416606,1,range_interpolation,4890,"Marsh Rd",,,Okemos,MI,"Ingham County",48864,US,"TIGER/Line® dataset from the US Census Bureau"
"40900 Ann Arbor Rd., East Plymouth, MI 48170",42.360034,-83.445621,1,rooftop,40900,"Ann Arbor Rd",,,Plymouth,MI,"Wayne County",48170,US,Semcog
"1400 S Sheldon Road Plymouth, MI 48170",42.360058,-83.4795,1,range_interpolation,1400,"S Sheldon Rd",,,Plymouth,MI,"Wayne County",48170,US,"TIGER/Line® dataset from the US Census Bureau"
"49485 Ann Arbor Rd. W Plymouth, MI 48170",42.353624,-83.528449,0.95,range_interpolation,49485,"Ann Arbor Rd",,,Plymouth,MI,"Wayne County",48170,US,"TIGER/Line® dataset from the US Census Bureau"
"66 E. Walton Blvd Pontiac, MI 48340",42.676546,-83.298924,1,rooftop,66,"E Walton Blvd",,,Pontiac,MI,"Oakland County",48340,US,Oakland
"6839 S Westnedge Ave Portage, MI 49002",42.218874,-85.589274,1,range_interpolation,6839,"S Westnedge Ave",,,Portage,MI,"Kalamazoo County",49002,US,"TIGER/Line® dataset from the US Census Bureau"
"940 Lapeer Ave. Port Huron, MI 48060",42.975702,-82.432445,1,rooftop,940,"Lapeer Ave",,,"Port Huron",MI,"St. Clair County",48060,US,Semcog
"27350 Plymouth Road Redford, MI 48239",42.370103,-83.312872,1,range_interpolation,27350,"Plymouth Rd",,,Redford,MI,"Wayne County",48239,US,"TIGER/Line® dataset from the US Census Bureau"
"25380 Five Mile Rd Redford, MI 48239",42.399829,-83.291516,1,range_interpolation,25380,"5 Mile Rd",,,Redford,MI,"Wayne County",48239,US,"TIGER/Line® dataset from the US Census Bureau"
